Temperatura,Cv,Chi,Magnetizacion,Energia
1.706500000000000128e+00,3.933929624522677138e+00,1.791311496117639877e+02,5.232258264462802400e-01,-1.809678925619829570e+00
1.743989227233553763e+00,3.982643206262682645e-01,8.903258877853610642e-02,9.644727272727255940e-01,-1.881511983471072291e+00
1.780185722493536460e+00,4.106424049728088499e-01,9.874331223254687040e-02,9.602522727272695402e-01,-1.868826033057850555e+00
1.815089485779948442e+00,4.348844210311194058e-01,1.141173068915056765e-01,9.547212809917319243e-01,-1.853292148760326663e+00
1.848700517092789486e+00,4.718047065559433650e-01,1.443781909580092448e-01,9.479816115702398571e-01,-1.835438429752080713e+00
1.881018816432059815e+00,4.814647943324702473e-01,1.465790812011625310e-01,9.428700413223108923e-01,-1.820360743801652914e+00
1.912044383797759428e+00,5.973545986777103467e-01,2.116182744339987210e-01,9.360654958677674387e-01,-1.803866528925625712e+00
1.941777219189888104e+00,6.563121267016063243e-01,3.180406648006708914e-01,9.265033057851267406e-01,-1.782479752066112200e+00
1.970217322608446064e+00,6.724115199351415884e-01,2.996926426630557305e-01,9.210533057851234551e-01,-1.767334297520664732e+00
1.997364694053433087e+00,7.529114854814765723e-01,3.748326537408502301e-01,9.126008264462875941e-01,-1.747683057851244337e+00
2.023219333524849173e+00,7.696418628279191321e-01,4.624288485222804446e-01,9.031406818182144969e-01,-1.728212148760273958e+00
2.047781241022694765e+00,8.490946789408475581e-01,6.395234629924444469e-01,8.924663429752255350e-01,-1.707947355371832066e+00
2.071050416546969419e+00,8.749990021434580489e-01,6.988034728847307697e-01,8.834809710744044864e-01,-1.689234297520607608e+00
2.093026860097673136e+00,9.403696246657812230e-01,8.624200742847093482e-01,8.725082644628244788e-01,-1.669034917355331604e+00
2.113710571674806360e+00,1.016970271732780873e+00,1.228251637063016100e+00,8.583238842975208227e-01,-1.646376776859481250e+00
2.133101551278368646e+00,1.044361676534956818e+00,1.288573182495213576e+00,8.487088016528768764e-01,-1.628602107438015034e+00
2.151199798908359995e+00,1.160820605906738301e+00,1.807220367378718384e+00,8.333833677685751340e-01,-1.606856611570267379e+00
2.168005314564780406e+00,1.209371738562338372e+00,2.451990550167526983e+00,8.212236157024703775e-01,-1.589612561983500205e+00
2.183518098247630324e+00,1.366190767598363554e+00,4.408021476894586677e+00,8.025843181818204108e-01,-1.569220578512436237e+00
2.197738149956909304e+00,1.333819413284800248e+00,2.959689221600299458e+00,7.942584297520568493e-01,-1.552313760330605419e+00
2.210665469692617346e+00,1.375796737241525847e+00,3.563436948324587128e+00,7.800431404958657611e-01,-1.535532520661181843e+00
2.222300057454754452e+00,1.570283511476247673e+00,1.082972491258355241e+01,7.489204545454513084e-01,-1.513486942148761560e+00
2.232641913243321063e+00,1.691082668871855654e+00,9.036055486383686386e+00,7.275151652892617449e-01,-1.493678884297524823e+00
2.241691037058316738e+00,1.692725921450842330e+00,1.201166019895440051e+01,7.219434710743855010e-01,-1.485624338842981951e+00
2.249447428899741475e+00,1.660205716390587893e+00,8.392904501778858162e+00,7.078559710743830280e-01,-1.470490619834692314e+00
2.255911088767595718e+00,1.785156789595854887e+00,1.393467211608602163e+01,6.860955165289359670e-01,-1.459261570247922135e+00
2.261082016661879024e+00,1.794316027227085497e+00,1.722931163788854647e+01,6.695664669421464987e-01,-1.448815702479335554e+00
2.264960212582591392e+00,1.813186558727345687e+00,1.481077862816976776e+01,6.704469628099211098e-01,-1.443837809917340342e+00
2.267545676529732823e+00,2.135538972504879673e+00,3.027030365267994583e+01,6.215450413223165826e-01,-1.430552561983474025e+00
2.268838408503303761e+00,2.091153467881935679e+00,2.604225930390198585e+01,6.222624173553733540e-01,-1.427439462809896753e+00
2.269161591496696495e+00,2.335778576202629075e+00,3.820143004358074990e+01,5.824096280991732932e-01,-1.417298057851236637e+00
2.270454323470267433e+00,1.958900881504252789e+00,2.005977792776295132e+01,6.462883264462774280e-01,-1.432388181818168738e+00
2.273039787417408863e+00,2.102679974157713794e+00,3.425889494886320108e+01,5.867829545454553708e-01,-1.413325537190062819e+00
2.276917983338121232e+00,2.061567380636862179e+00,2.967673343131494335e+01,5.951710537190080252e-01,-1.412387809917367898e+00
2.282088911232404538e+00,2.116520089081511014e+00,2.946305864755875348e+01,5.797083884297530298e-01,-1.401566239669404856e+00
2.288552571100258781e+00,2.084674678057924169e+00,3.860390835924398800e+01,5.118712396694231614e-01,-1.377597892561986503e+00
2.296308962941683518e+00,2.143299780327294179e+00,3.227888676268040058e+01,5.433216528925575162e-01,-1.377252438016521419e+00
2.305358086756679192e+00,2.028234040332689503e+00,3.604756720621602994e+01,5.085468595041360285e-01,-1.360136115702471393e+00
2.315699942545245804e+00,1.945159802864264487e+00,3.616125536834245935e+01,4.527655578512367329e-01,-1.334348512396707376e+00
2.327334530307382909e+00,1.890108712963979309e+00,3.787609219451891107e+01,4.141189256198398172e-01,-1.315086280991746737e+00
2.340261850043090952e+00,1.690022355181618918e+00,3.211536685458263207e+01,3.943190082644607020e-01,-1.296083925619847532e+00
2.354481901752370376e+00,1.485857086774477143e+00,3.004488258172253268e+01,3.366076239669394954e-01,-1.267811404958685495e+00
2.369994685435219850e+00,1.393756284608138607e+00,2.734772345382277337e+01,2.676523140495864483e-01,-1.242427231404945820e+00
2.386800201091640261e+00,1.198868526141744661e+00,2.087889586411230525e+01,2.476697727272688665e-01,-1.220831363636346811e+00
2.404898448721632054e+00,1.177865485113060773e+00,1.898829959821205904e+01,2.310533057851216765e-01,-1.201622107438002462e+00
2.424289428325193896e+00,1.035634277847653495e+00,1.456164116138481290e+01,1.974090702479316672e-01,-1.176419876033046208e+00
2.444973139902327119e+00,9.854043201111373218e-01,1.340239904334598542e+01,1.873203099173540997e-01,-1.157228595041321473e+00
2.466949583453030836e+00,9.037168145248275497e-01,1.028991591165700470e+01,1.600090495867750040e-01,-1.134446859504127270e+00
2.490218758977305491e+00,8.738705125891980119e-01,9.243318647314993086e+00,1.515596280991723110e-01,-1.114609214876045362e+00
2.514780666475151083e+00,8.330362325065521212e-01,7.638686224384040102e+00,1.365951652892566370e-01,-1.092802768595050544e+00
2.540635305946567613e+00,8.243451386486706500e-01,6.945248673840900722e+00,1.318237603305784933e-01,-1.072602479338849335e+00
2.567782677391554191e+00,7.689222663755811427e-01,5.090228344358627588e+00,1.144157024793391875e-01,-1.050859917355370543e+00
2.596222780810112152e+00,7.211711613315039404e-01,5.642388827119855677e+00,1.179617768595043331e-01,-1.034621487603304635e+00
2.625955616202241050e+00,6.499139956272803609e-01,3.574733015954549398e+00,9.289049586776887413e-02,-1.010738842975206442e+00
2.656981183567940441e+00,6.352015623681506185e-01,3.198625750484822117e+00,9.404690082644645566e-02,-9.902471074380133631e-01
2.689299482907210770e+00,6.100818302170103458e-01,3.617919864110470840e+00,9.474566115702488800e-02,-9.706227272727259159e-01
2.722910514220052036e+00,5.511445144621213155e-01,2.531096729564066727e+00,8.391962809917384580e-02,-9.512938016528931229e-01
2.757814277506463796e+00,5.392333535842986914e-01,2.313117386264408104e+00,7.689834710743809199e-02,-9.304227272727261244e-01
2.794010772766446493e+00,5.181499602098351698e-01,2.392911046750430426e+00,7.874359504132233400e-02,-9.112735537190055357e-01
2.831500000000000128e+00,5.191324989805203849e-01,1.925604077621451804e+00,6.966611570247950580e-02,-8.925479338842978727e-01
